lid,Part Name,Part Number,Category,Desc
37,7.5V 0.5W zener diode,1N5236B,,
37,9.1V 0.5W zener diode,1N5239B,,
37,8.2V 0.5W zener diode,1N5237B,,
37,18V 0.5W zener diode,1N5248B,,
37,5.1V 1W zener diode,1N4733,,
38,AC Power connectors,Power Supplies,,
38,Circuit breakers,Power Supplies,,
38,9V AC,Power Supplies,,
38,5V DC,Power Supplies,,
38,12V AC,Power Supplies,,
38,12V+ AC,Power Supplies,,
38,6-9V DC,Power Supplies,,
38,12V+ DC,Power Supplies,,
39,7V AC transformer,Power Supplies,,
39,Universal AC adapters,Power Supplies,,
39,Misc AC adapters,Power Supplies,,
39,Signal Transformers,Power Supplies,,
39,TO-3 Heat Sinks,Power Supplies,,
39,TO-220 Heat Sinks,Heat Sinks,,
39,Misc Heat Sinks,Heat Sinks,,
39,AC Power EMI filters,Power Supplies,,
40,Misc Electrical,Misc Electrical,,
40,Transformer Power,Transformers,,
40,AC motors,AC motors,,
40,Cell Phone stuff,Cellphone Power Supplies,,
